transaction_id,customer_id,purchase_date,order_value,num_items,payment_method,channel,store_id,product_category
TXN-N0N7CG6KQ0CX,CUST-10008819,2026-02-09,93.04,2,cash,store,STORE-350,Home
TXN-91FWPW8VI37N,CUST-10005410,2025-08-14,33.92,5,cash,online,ONLINE,Electronics
TXN-S35PGQ727LOO,CUST-10006271,2025-12-19,395.42,8,cash,store,STORE-345,Electronics
TXN-6WHEZRGT3S8J,CUST-10009745,2025-04-23,155.12,3,cash,online,ONLINE,Grocery
TXN-W4BQ8T4F13R1,CUST-10008253,2025-11-19,125.03,6,credit_card,online,ONLINE,Home
TXN-GE2NJ6FC3542,CUST-10003902,2025-06-27,123.35,3,credit_card,store,STORE-293,Apparel
TXN-O3LBO9KC9ZQJ,CUST-10004194,2025-08-12,131.07,8,debit_card,store,STORE-342,Footwear
TXN-PW27ZA2LB5WT,,2026-05-23,61.65,4,debit_card,store,STORE-055,Home
TXN-BYVO11QBXN88,CUST-10009159,2026-03-22,177.12,2,credit_card,store,STORE-363,Grocery
TXN-ADWJYHXRCXMI,CUST-10005082,2025-10-24,68.7,1,credit_card,online,ONLINE,Grocery
TXN-ZRCVKCDK5B9I,CUST-10007759,2025-11-17,253.13,6,credit_card,store,STORE-154,Electronics
TXN-ADT7GP3PW12Z,CUST-10001497,2026-05-07,160.0,6,cash,store,STORE-171,Outdoor
TXN-T0GL7VPO5H5G,CUST-10005540,2025-11-20,43.36,8,gift_card,online,ONLINE,Grocery
TXN-5VTG4LKR2GFN,CUST-10005056,2025-07-07,131.69,8,credit_card,store,STORE-332,Toys
TXN-E2BHPRCGFBP0,CUST-10001912,2026-03-27,113.91,1,debit_card,online,ONLINE,Footwear
TXN-8D1GBN16BOC1,CUST-10003663,2025-12-27,43.48,2,credit_card,store,STORE-379,Toys
TXN-H66PYZOW6LH1,CUST-10003033,2025-09-15,263.53,6,debit_card,online,ONLINE,Apparel
TXN-MB30H8SUFFZY,CUST-10000549,2025-09-19,592.2,3,gift_card,store,STORE-207,Home
TXN-QU8ROUB7L9XO,CUST-10007837,2025-12-11,,6,gift_card,online,ONLINE,Electronics
TXN-BOGO26TDZT7U,CUST-10001006,2025-04-06,122.87,3,gift_card,store,STORE-141,Toys
TXN-4PPOCLIBCYTA,CUST-10007128,2025-10-23,159.4,3,cash,online,ONLINE,Toys
TXN-H7V0CNHSSCL0,CUST-10007477,2026-05-05,75.89,5,gift_card,store,STORE-059,Outdoor
TXN-FWFE2SVVJ2OR,CUST-10000893,2025-05-08,34.58,9,cash,store,STORE-138,Electronics
TXN-F2V9BWSXOYRO,CUST-10005789,2025-09-16,60.2,1,gift_card,online,ONLINE,Apparel
TXN-3ZZN0CEKVXCG,CUST-10005351,2026-05-19,35.18,7,cash,store,STORE-268,Apparel
TXN-L1FKGO7AMXEX,CUST-10005740,2025-09-18,273.93,1,gift_card,store,STORE-052,Outdoor
TXN-S7OKMBTA2JG2,CUST-10000390,2025-04-10,186.42,5,credit_card,store,STORE-084,Home
TXN-F3PKUJUVMDSY,CUST-10006359,2026-06-27,561.2,9,cash,store,STORE-074,Electronics
TXN-FEME990348HH,CUST-10002048,2025-07-22,127.51,2,cash,online,ONLINE,Electronics
TXN-UNHEFO4PUMQ2,CUST-10005290,2025-06-06,142.55,2,debit_card,online,ONLINE,Electronics
TXN-ECJVSJFGNVLC,CUST-10007403,2025-09-20,476.89,4,debit_card,online,ONLINE,Footwear
TXN-BQ69E0UKJM3L,CUST-10006018,2026-01-12,75.96,2,credit_card,store,STORE-103,Beauty
TXN-PV61MN6U7TFB,CUST-10005859,2025-10-09,164.11,6,gift_card,online,ONLINE,Home
TXN-OWLWF5EC3E9C,CUST-10000511,2025-10-10,302.55,8,debit_card,store,STORE-137,Electronics
TXN-I3UF3HNHA11O,CUST-10001772,2025-09-20,182.02,1,credit_card,online,ONLINE,Beauty
TXN-B9BJCYMWLG2Z,CUST-10006028,2026-05-01,552.45,2,gift_card,store,STORE-068,Beauty
TXN-5HXGG9CEIIPQ,CUST-10005826,2025-09-29,28.02,6,credit_card,online,ONLINE,Footwear
TXN-1M4TX4XVNO2R,CUST-10004432,2026-01-12,98.06,3,cash,online,ONLINE,Toys
TXN-K8M7MLQZP40H,CUST-10003831,2025-09-22,64.86,2,credit_card,online,ONLINE,Home
TXN-6UDP74H27EZ1,CUST-10004871,2025-12-13,172.61,8,debit_card,store,STORE-297,Outdoor
TXN-JOGWDB4TKY2N,CUST-10007432,2025-07-29,181.6,1,credit_card,store,STORE-335,Grocery
TXN-K2FLOLVUS9W1,CUST-10003936,2026-02-17,600.54,8,gift_card,store,STORE-260,Apparel
TXN-P899CUBTIDNZ,CUST-10000822,2025-09-05,217.09,7,debit_card,online,ONLINE,Footwear
TXN-DEX06I3UKF2I,CUST-10000286,2025-07-11,81.3,6,gift_card,store,STORE-085,Apparel
TXN-UAI1NQD6CJEQ,CUST-10005467,2025-08-26,182.73,7,gift_card,online,ONLINE,Outdoor
TXN-1VO6USHLZYYC,CUST-10009975,2025-07-02,23.36,8,cash,online,ONLINE,Home
TXN-6BUKK9WZ9TG6,CUST-10008942,2025-12-02,64.58,2,cash,online,ONLINE,Apparel
TXN-O4LA9CACLFCQ,CUST-10002931,2025-04-07,198.06,1,cash,online,ONLINE,Beauty
TXN-3SN7CZQH0IWR,CUST-10005843,2025-08-13,27.74,4,cash,online,ONLINE,Home
TXN-UKKV6HD2XERG,CUST-10005847,2026-05-14,169.55,6,debit_card,online,ONLINE,Grocery
TXN-PMN5H0W3RJZ8,CUST-10004307,2025-10-18,97.25,3,gift_card,online,ONLINE,Footwear
TXN-1PYCK7BH2SIQ,CUST-10000519,2026-01-13,290.89,3,credit_card,store,STORE-257,Beauty
TXN-7E8IO8ZM1J2A,CUST-10003718,2025-10-12,487.04,9,debit_card,store,STORE-160,Home
TXN-PYY15APCU2WR,CUST-10000419,2026-01-04,19.8,9,gift_card,online,ONLINE,Apparel
TXN-DIHUY35H3CRH,CUST-10000952,2026-02-16,269.49,8,gift_card,online,ONLINE,Home
TXN-4H5IM8K3G47E,CUST-10000993,2025-09-17,262.86,2,cash,online,ONLINE,Toys
TXN-T3YJJPZON09A,CUST-10009937,2025-08-16,43.7,3,credit_card,online,ONLINE,Apparel
TXN-DPVGQE658D7S,CUST-10002387,2026-05-29,109.96,1,cash,store,STORE-021,Toys
TXN-GKJ0ZF92Y5PS,CUST-10000712,2025-05-01,310.88,4,credit_card,store,STORE-076,Footwear
TXN-VVYZ7RQR9SZB,CUST-10000607,2025-05-17,268.71,7,gift_card,online,ONLINE,Electronics
TXN-ZTSHSDEPO85Z,CUST-10009217,2026-05-31,260.15,1,credit_card,store,STORE-033,Apparel
TXN-H2NJS867EVAS,CUST-10007027,2025-08-30,70.7,1,credit_card,online,ONLINE,Apparel
TXN-GF53IA0BTACI,CUST-10004372,2025-11-25,48.71,8,credit_card,store,STORE-272,Home
TXN-UAEP866216TF,CUST-10001775,2026-06-13,393.57,3,cash,online,ONLINE,Apparel
TXN-JJAKYVQOQ17S,CUST-10004373,2025-12-17,136.94,8,debit_card,store,STORE-104,Toys
TXN-ITDQMPRGWBQ6,CUST-10006780,2025-05-16,16.25,6,debit_card,store,STORE-038,Beauty
TXN-JNUHDD38A3ZW,,2025-06-07,128.4,9,cash,online,ONLINE,Beauty
TXN-52HRZZMU2VL7,CUST-10009540,2026-04-16,238.73,5,gift_card,online,ONLINE,Electronics
TXN-JO4Y67GX90CI,CUST-10001755,2025-12-08,69.78,3,credit_card,store,STORE-051,Electronics
TXN-FTCCMG4GZNBE,CUST-10004102,2026-04-16,327.13,8,gift_card,store,STORE-350,Beauty
TXN-OS8OLEQT0TDS,CUST-10003484,2025-12-13,249.96,5,cash,store,STORE-040,Electronics
TXN-O4Z21JONGKV3,CUST-10007226,2026-05-23,,2,cash,store,STORE-378,Apparel
TXN-S4GGLNHWJC9F,CUST-10000952,2025-07-16,214.44,6,credit_card,online,ONLINE,Electronics
TXN-KMQQGMFM8L3E,CUST-10009259,2026-04-29,154.88,5,credit_card,store,STORE-397,Apparel
TXN-L5SZ006UTTXE,CUST-10003097,2026-03-17,81.17,4,credit_card,online,ONLINE,Apparel
TXN-JGSJQO4EXRW0,CUST-10006737,2026-06-25,573.12,8,debit_card,store,STORE-045,Outdoor
TXN-3YUSNDNYKBP7,CUST-10000495,2025-10-03,253.75,4,gift_card,online,ONLINE,Home
TXN-T115AQSXZIUX,CUST-10001062,2026-05-05,162.81,5,gift_card,online,ONLINE,Outdoor
TXN-20QX21I82SCI,CUST-10000065,2026-02-05,457.62,2,credit_card,online,ONLINE,Grocery
TXN-A3D1ET2ZKADI,CUST-10002800,2025-07-11,172.58,3,cash,store,STORE-222,Grocery
TXN-0710VS7GQVRR,CUST-10005344,2025-07-26,36.36,7,credit_card,online,ONLINE,Toys
TXN-DD2EN2QGCADI,CUST-10003200,2026-03-16,24.85,9,gift_card,online,ONLINE,Home
TXN-A3NVGIBFWTLI,CUST-10004676,2026-04-12,192.17,5,credit_card,online,ONLINE,Grocery
TXN-JAMD9UJPT7CP,CUST-10006788,2025-06-19,167.3,6,debit_card,online,ONLINE,Toys
TXN-1BNINSM1INNM,CUST-10003234,2025-11-10,,4,cash,store,STORE-041,Outdoor
TXN-YS49J8K5AVEX,CUST-10005177,2025-06-09,104.15,1,gift_card,online,ONLINE,Outdoor
TXN-VKJS151FVWTE,CUST-10002835,2026-04-16,279.34,9,gift_card,store,STORE-390,Beauty
TXN-0TP5F6GBXRCK,CUST-10005022,2025-11-29,159.79,6,debit_card,online,ONLINE,Toys
TXN-0VZQIRZQKU8T,CUST-10001562,2025-08-08,513.78,4,gift_card,store,STORE-035,Outdoor
TXN-CBIXEEXF8RMI,CUST-10006641,2026-03-20,51.21,6,debit_card,store,STORE-257,Electronics
TXN-1RIJPBEDITWG,CUST-10005465,2025-05-20,62.75,8,debit_card,store,STORE-096,Electronics
TXN-E5MISN6G62ZW,CUST-10007929,2025-10-28,76.07,3,credit_card,store,STORE-300,Apparel
TXN-TGTPPPGKVTH4,CUST-10009693,2025-11-02,21.64,4,gift_card,online,ONLINE,Apparel
TXN-3CXLLVENITT1,CUST-10003813,2025-09-22,,3,credit_card,online,ONLINE,Apparel
TXN-CLC0CP2Q71PX,CUST-10007511,2025-05-11,79.36,5,gift_card,store,STORE-083,Apparel
TXN-ZV7B84954LYO,CUST-10000507,2026-05-31,190.32,4,cash,store,STORE-221,Grocery
TXN-O9JTDT4Q1AJI,CUST-10001077,2025-11-22,121.92,2,gift_card,store,STORE-278,Beauty
TXN-Z9RX1IEUVZ13,CUST-10008079,04/14/2026,58.92,8,credit_card,store,STORE-164,Footwear
TXN-YNV46MI26ZEJ,CUST-10001491,2026-03-09,551.58,3,cash,online,ONLINE,Apparel
TXN-Z003C1PMPL3A,CUST-10007679,2026-01-17,17.13,7,cash,store,STORE-108,Home
TXN-5UQIDEANBKCU,CUST-10007771,2026-03-20,89.07,3,cash,online,ONLINE,Home
TXN-ALGWZ6NTOL1X,CUST-10007232,2025-11-09,100.11,3,cash,store,STORE-004,Toys
TXN-XH3LJS7TLG5R,CUST-10008392,2026-04-19,24.53,2,cash,online,ONLINE,Outdoor
TXN-AU2ID91JBCCI,CUST-10007946,2025-11-11,67.85,5,cash,store,STORE-172,Apparel
TXN-B223NPB936CX,CUST-10004668,2026-06-27,59.97,4,cash,online,ONLINE,Home
TXN-V806IAT3TT5P,CUST-10006535,2026-03-09,,8,debit_card,store,STORE-033,Beauty
TXN-4ZERXU0G9APC,CUST-10007618,2026-01-17,67.24,4,gift_card,online,ONLINE,Home
TXN-TH51ACVZFV96,CUST-10007086,2026-03-02,202.26,9,debit_card,store,STORE-379,Outdoor
TXN-R4TN9W8M7MUI,CUST-10007977,2026-04-27,377.96,8,cash,online,ONLINE,Home
TXN-4J3EEJ2VCJ6Y,CUST-10009163,2025-11-29,35.39,8,debit_card,store,STORE-031,Toys
TXN-EHF6NVGU42TS,CUST-10000318,2025-08-13,21.01,8,gift_card,online,ONLINE,Apparel
TXN-MJJZNLBE2NM3,,2025-12-20,57.69,7,debit_card,store,STORE-327,Grocery
TXN-QDBLJXV0JIRA,CUST-10005590,2025-08-11,72.24,6,cash,online,ONLINE,Apparel
TXN-S0M17IB19C29,CUST-10001074,2025-12-08,464.74,3,debit_card,store,STORE-171,Outdoor
TXN-9UP83G0J5NQY,CUST-10001271,2026-05-17,104.17,9,debit_card,store,STORE-365,Apparel
TXN-A34NPQ5LX69R,CUST-10006114,2026-04-22,50.07,2,cash,online,ONLINE,Apparel
TXN-WD1D8OKYMPAO,CUST-10005302,2025-05-19,108.28,8,cash,store,STORE-180,
TXN-R6ICWDTNSLWG,CUST-10007259,2026-03-31,501.96,6,gift_card,online,ONLINE,Footwear
TXN-WNVCXTBDSHOH,CUST-10006960,2026-04-01,,5,gift_card,online,ONLINE,Outdoor
TXN-S3RVL1NAUU6U,CUST-10000644,2026-04-01,21.29,9,debit_card,store,STORE-388,Toys
TXN-6QGZXZ0MQ0WR,CUST-10009154,2025-12-12,494.7,8,credit_card,online,ONLINE,Toys
TXN-J8G5L2THRA0E,CUST-10004206,2026-02-02,233.58,4,debit_card,store,STORE-045,Apparel
TXN-G3INLUCQ21FN,CUST-10006125,2026-05-03,233.38,2,cash,online,ONLINE,Footwear
TXN-PEH444B8AOML,CUST-10009620,2025-04-17,47.87,6,cash,online,ONLINE,Beauty
TXN-4B7QJBYVV5AI,CUST-10002032,2025-06-05,157.6,9,debit_card,online,ONLINE,
TXN-TRRPIMTUQCCV,CUST-10004458,2025-04-14,16.71,7,credit_card,store,STORE-252,Home
TXN-F68R6MA33N9R,CUST-10007172,2025-04-21,211.88,1,credit_card,store,STORE-007,Home
TXN-VZYFHUDNW7TB,CUST-10004665,2026-06-07,99.48,4,cash,online,ONLINE,Grocery
TXN-EV21S1N5F5JF,CUST-10001492,2025-08-23,67.99,1,debit_card,store,STORE-363,Grocery
TXN-ZIMQ5F4ZHJP7,CUST-10004272,2026-06-20,19.7,5,gift_card,store,STORE-146,Toys
TXN-X7QMBUWJXIND,CUST-10005729,2026-03-13,57.79,1,credit_card,store,STORE-372,Electronics
TXN-DN65DB2A0LKR,CUST-10008507,2025-08-17,259.16,3,debit_card,store,STORE-391,Outdoor
TXN-AV2M6U1F9Y2B,CUST-10008771,2025-05-19,24.55,5,gift_card,store,STORE-171,Apparel
TXN-OH4JA0FNQK8I,CUST-10005088,2025-08-25,274.22,3,gift_card,store,STORE-025,Beauty
TXN-R5QJ556T8KT7,CUST-10002758,2025-12-12,139.2,6,gift_card,online,ONLINE,Grocery
TXN-G3LLKAFSV7WL,CUST-10008677,2026-04-20,63.94,9,credit_card,online,ONLINE,Electronics
TXN-HGXYQO43P0H6,CUST-10004111,2025-05-10,115.71,8,credit_card,online,ONLINE,Apparel
TXN-P6GFTMY6AJGY,CUST-10006727,2025-12-25,174.44,9,debit_card,online,ONLINE,Apparel
TXN-BXGT8PPO1OFM,CUST-10001027,2026-01-17,90.98,9,cash,online,ONLINE,Footwear
TXN-4V2VB7X0VZP9,CUST-10008437,2026-02-21,36.38,4,credit_card,store,STORE-154,Grocery
TXN-06UHZ5T51E1C,,2025-12-30,28.93,8,cash,online,ONLINE,Grocery
TXN-ATJRM7V5Q6NI,CUST-10003092,2026-04-08,46.35,8,credit_card,online,ONLINE,Apparel
TXN-PUCY74WWOZK0,CUST-10004297,2025-10-29,128.01,8,cash,store,STORE-253,Grocery
TXN-RRY5IBV9KCDM,CUST-10001200,2026-02-19,210.07,4,cash,online,ONLINE,Beauty
TXN-F4NJ9ZVG4XKS,CUST-10005916,2025-06-01,54.74,1,gift_card,online,ONLINE,Footwear
TXN-GSZZ7A2X4EXV,CUST-10004026,2026-04-19,251.08,6,credit_card,online,ONLINE,Toys
TXN-7AEFQKIY5E5F,CUST-10008489,2026-04-09,23.27,8,cash,online,ONLINE,Toys
TXN-EAGP3NO4BCMG,CUST-10001434,2025-09-10,31.45,8,credit_card,online,ONLINE,Home
TXN-AIL7D4MCN5F0,CUST-10006191,2025-07-15,347.01,9,gift_card,store,STORE-067,Electronics
TXN-7RWDK077BZI8,,2025-12-01,40.59,4,credit_card,store,STORE-397,Home
TXN-373002LK8SQ9,,2026-03-28,507.7,8,cash,online,ONLINE,Apparel
TXN-992VU1YKUCD5,CUST-10007033,2026-03-22,250.98,9,debit_card,online,ONLINE,Toys
TXN-U69ML9NZQWQ2,CUST-10001850,2026-06-15,29.59,9,gift_card,online,ONLINE,Home
TXN-37VQL6VUM2HY,CUST-10008359,2025-10-19,271.79,7,gift_card,store,STORE-100,Home
TXN-GZ0RTSE5YB5Q,CUST-10009669,2026-04-02,120.88,4,credit_card,store,STORE-131,Grocery
TXN-D17IAFRM5LDU,CUST-10002904,2025-11-13,168.95,2,gift_card,store,STORE-146,Outdoor
TXN-T8AB1VJLH9WP,CUST-10008273,2025-06-26,199.96,6,credit_card,store,STORE-151,Toys
TXN-7F2NSQYR4GIH,CUST-10006291,2025-11-15,16.22,6,gift_card,store,STORE-266,Home
TXN-BJ9CO0LK18D2,CUST-10000660,2025-04-13,265.33,9,credit_card,store,STORE-225,Apparel
TXN-C2LPK6VMY8C4,CUST-10002216,2025-04-28,44.0,5,gift_card,online,ONLINE,Electronics
TXN-IJ1W2HZEUXAJ,CUST-10001329,2025-09-14,234.3,1,gift_card,online,ONLINE,Outdoor
TXN-IE2GJ9X6UXST,CUST-10007303,08/09/2025,174.63,2,credit_card,online,ONLINE,Electronics
TXN-DKQKOKB9Q9TS,CUST-10001922,2025-08-01,50.86,5,gift_card,store,STORE-220,Apparel
TXN-GN6MSNVL824W,CUST-10002613,2025-07-31,54.07,3,credit_card,online,ONLINE,Electronics
TXN-ENUO1L0JGTRH,CUST-10006344,2025-12-24,84.03,9,gift_card,store,STORE-021,Home
TXN-E4S5FJ6XGYYZ,CUST-10003159,2025-05-19,472.06,3,cash,online,ONLINE,Apparel
TXN-Y7HWJSQQEZMO,CUST-10001024,2025-08-03,364.73,6,gift_card,store,STORE-257,Home
TXN-9BUW58LHAOXM,CUST-10005740,2025-12-25,397.59,5,debit_card,online,ONLINE,Toys
TXN-ZD6GH49SSCLH,CUST-10005311,2025-07-14,58.92,5,gift_card,online,ONLINE,Electronics
TXN-IDKYX6V49ONC,CUST-10009567,2026-05-31,530.11,3,debit_card,store,STORE-389,Footwear
TXN-5UQY94FOIM3L,CUST-10005828,2025-06-22,69.52,4,debit_card,online,ONLINE,Grocery
TXN-498XVI3W9WYG,CUST-10001521,2025-12-27,74.85,3,cash,store,STORE-325,Grocery
TXN-3VTDQYXPGF59,CUST-10006512,2025-05-14,266.99,4,cash,online,ONLINE,Home
TXN-FKW83BCFIEG9,CUST-10003572,2026-03-26,39.48,1,gift_card,online,ONLINE,Grocery
TXN-FUHB6S3BPRAW,CUST-10001533,2025-05-24,149.99,9,credit_card,online,ONLINE,Toys
TXN-DICRDZ4QTFNQ,CUST-10007840,2026-03-16,57.8,9,gift_card,store,STORE-244,Grocery
TXN-ZOFVCURH2Z85,CUST-10001897,2026-05-22,583.29,7,debit_card,online,ONLINE,Home
TXN-LPRWNBE3AQJD,CUST-10009294,2025-10-22,106.46,3,debit_card,store,STORE-228,Grocery
TXN-LT7FWWI5VUB6,CUST-10008537,2025-11-26,50.96,8,cash,online,ONLINE,Toys
TXN-17KM8Y1J5XI1,CUST-10003929,2025-11-10,162.42,9,cash,store,STORE-164,Outdoor
TXN-E3M7WIFIVHGD,CUST-10000704,2025-11-16,242.79,9,gift_card,store,STORE-366,Grocery
TXN-8PJ14JS5UUXA,CUST-10001639,2026-02-28,,5,gift_card,online,ONLINE,
TXN-6T2HIONCDWTR,CUST-10002267,2025-04-24,186.06,2,cash,store,STORE-153,Electronics
TXN-DQLKZ0NNYUVI,CUST-10002323,2026-06-01,210.12,2,credit_card,online,ONLINE,Outdoor
TXN-BNHIB1KN5SY0,CUST-10008030,2026-03-29,,9,debit_card,store,STORE-012,Outdoor
TXN-MCIVRUCNSMG9,CUST-10003688,2025-08-11,174.64,2,debit_card,online,ONLINE,Home
TXN-LWICONK1P401,CUST-10003148,2026-04-02,57.88,7,cash,online,ONLINE,Grocery
TXN-ON3PWGH9PUEM,CUST-10000909,2026-03-03,43.57,8,debit_card,online,ONLINE,Outdoor
TXN-1COC21GYKLCB,CUST-10009383,2025-06-01,199.84,8,gift_card,store,STORE-055,Electronics
TXN-T0ULZZ47XUQL,,2026-06-20,230.25,8,cash,online,ONLINE,Home
TXN-P1QRISRPL4IK,CUST-10001253,2025-11-01,484.37,9,credit_card,online,ONLINE,Grocery
TXN-N8QYS3807IJ9,CUST-10000373,03/16/2026,33.64,1,cash,store,STORE-370,Grocery
TXN-JSYCW2A4YJSF,CUST-10004186,2026-02-03,130.95,6,cash,online,ONLINE,Grocery
TXN-7DXJQ1OLPMIS,CUST-10003467,2026-02-06,57.62,6,debit_card,store,STORE-244,Toys
TXN-TOUF6VPA96JB,CUST-10003950,2025-08-25,364.02,5,gift_card,store,STORE-355,Home
TXN-HRS9BF5FW53T,CUST-10008398,2025-08-01,96.37,9,gift_card,store,STORE-134,Home
TXN-ISPMFV4KP9MD,CUST-10004646,2026-04-01,57.1,7,credit_card,online,ONLINE,Outdoor
TXN-X0RREV791662,CUST-10006652,2025-06-03,282.63,4,gift_card,online,ONLINE,Outdoor
TXN-9RJPEV8TOB4U,CUST-10005000,2025-05-25,79.32,4,cash,store,STORE-340,Outdoor
TXN-IRMHU6VFZRZX,CUST-10000814,2025-07-26,163.66,4,gift_card,store,STORE-209,Apparel
TXN-QK2ZKH8JMCJQ,CUST-10005218,2026-01-13,29.94,1,cash,store,STORE-249,Apparel
TXN-5BXAP5694OW5,CUST-10001079,05/25/2026,105.24,4,debit_card,online,ONLINE,Outdoor
TXN-GN1UTY1K0XSA,CUST-10001864,01/10/2026,55.47,8,debit_card,store,STORE-157,Footwear
TXN-WSV729CXG5F9,CUST-10004081,2026-03-27,166.39,6,gift_card,online,ONLINE,Footwear
TXN-623UJKRXTX4W,CUST-10003558,2025-10-21,174.59,7,credit_card,store,STORE-140,Beauty
TXN-GB8GM754UQCR,CUST-10008143,2026-04-04,73.38,5,credit_card,store,STORE-340,Electronics
TXN-0TIARN8GFK9A,CUST-10005515,2025-06-07,585.61,1,gift_card,store,STORE-040,Home
TXN-IJC2PWLGLT92,CUST-10009765,2026-02-02,97.82,7,debit_card,store,STORE-170,Outdoor
TXN-SZBJQ6C95QO2,CUST-10009250,2025-08-04,27.63,3,cash,store,STORE-335,Home
TXN-QVEBZMUO5YSM,CUST-10007259,2026-04-04,425.56,2,gift_card,online,ONLINE,Apparel
TXN-2K08FY32A6GT,CUST-10009914,2026-02-22,262.36,1,credit_card,online,ONLINE,Outdoor
TXN-LF8S6018LPU3,CUST-10009182,2026-06-20,147.92,6,debit_card,online,ONLINE,Outdoor
TXN-GMKZ5VV8SFMZ,CUST-10007559,2025-09-19,86.81,6,credit_card,store,STORE-394,Apparel
TXN-8A1HICER68G4,CUST-10006843,2025-12-03,234.78,2,credit_card,store,STORE-010,Beauty
TXN-ZI2255CYA81T,CUST-10001071,2025-09-09,137.62,6,gift_card,online,ONLINE,Footwear
TXN-GCY3NMCXGUDN,CUST-10005484,12/12/2025,96.64,4,cash,online,ONLINE,Grocery
TXN-ZT49UHOK7FE6,CUST-10007964,2025-12-02,65.61,4,credit_card,store,STORE-281,Outdoor
TXN-TP51OBMLUJ15,CUST-10003789,2026-02-27,249.12,1,credit_card,store,STORE-388,Apparel
TXN-1JNTHCBPQ1GM,CUST-10002027,2026-04-22,313.58,5,gift_card,online,ONLINE,Footwear
TXN-0QBFSBJKS5IB,CUST-10007200,2026-03-11,,8,cash,online,ONLINE,Apparel
TXN-CYWDXO43E429,,2025-09-01,161.18,5,credit_card,store,STORE-174,Grocery
TXN-HVRF0I9K4G3P,CUST-10000028,2026-01-25,120.47,7,cash,online,ONLINE,Apparel
TXN-2X9URH3DK5S6,CUST-10008341,2026-06-21,167.6,5,credit_card,store,STORE-258,Grocery
